f1,f2,bloco,resp
IN,Plantio,B1,339
IN,Plantio,B2,332
IN,Plantio,B3,163
IN,Plantio,B4,230
IN,Plantio,B5,300
IN,V1+15,B1,163
IN,V1+15,B2,172
IN,V1+15,B3,123
IN,V1+15,B4,83
IN,V1+15,B5,161
IN,V3+15,B1,196
IN,V3+15,B2,252
IN,V3+15,B3,346
IN,V3+15,B4,468
IN,V3+15,B5,258
IN,R1+15,B1,335
IN,R1+15,B2,235
IN,R1+15,B3,217
IN,R1+15,B4,174
IN,R1+15,B5,222
NI,Plantio,B1,284
NI,Plantio,B2,136
NI,Plantio,B3,225
NI,Plantio,B4,98
NI,Plantio,B5,110
NI,V1+15,B1,482
NI,V1+15,B2,438
NI,V1+15,B3,492
NI,V1+15,B4,453
NI,V1+15,B5,446
NI,V3+15,B1,171
NI,V3+15,B2,69
NI,V3+15,B3,95
NI,V3+15,B4,46
NI,V3+15,B5,79
NI,R1+15,B1,32
NI,R1+15,B2,38
NI,R1+15,B3,63
NI,R1+15,B4,48
NI,R1+15,B5,160
